A̱o;Materia;Cursantes;Repitentes;Repitentes2;Repitentes3;Repitentes4;Repitentes5;Recarguistas
2011;ANATOMIA;0;0;0;0;0;0;0
2011;EMBRIOLOGIA Y GENETICA;0;0;0;0;0;0;0
2011;HISTOLOGIA;0;0;0;0;0;0;0
2011;SALUD PUBLICA I;0;0;0;0;0;0;0
2011;BIOQUIMICA;0;0;0;0;0;0;0
2011;FISIOLOGIA-BIOFISICA;0;0;0;0;0;0;0
2011;MICROBIOLOGIA;0;0;0;0;0;0;0
2011;PARASITOLOGIA;0;0;0;0;0;0;0
2011;SALUD PUBLICA II;0;0;0;0;0;0;0
2011;ANATOMIA PATOLOGICA;0;0;0;0;0;0;0
2011;CIRUGIA I;0;0;0;0;0;0;0
2011;FARMACOLOGIA;0;0;0;0;0;0;0
2011;FISIOPATOLOGIA;0;0;0;0;0;0;0
2011;MEDICINA I;0;0;0;0;0;0;0
2011;PSICOLOGIA MEDICA;0;0;0;0;0;0;0
2011;CIRUGIA II;0;0;0;0;0;0;0
2011;MEDICINA II;0;0;0;0;0;0;0
2011;NEUROLOGIA NEUROCIRUGIA;0;0;0;0;0;0;0
2011;PSICOPATOLOGIA PSIQUIATRIA;0;0;0;0;0;0;0
2011;SALUD PUBLICA III;0;0;0;0;0;0;0
2011;TRAUMATOLOGIA ORTOPEDIA;0;0;0;0;0;0;0
2011;CIRUGIA III;0;0;0;0;0;0;0
2011;GINECOLOGIA;0;0;0;0;0;0;0
2011;MEDICINA III;0;0;0;0;0;0;0
2011;MEDICINA LEGAL;0;0;0;0;0;0;0
2011;OBSTETRICIA;0;0;0;0;0;0;0
2011;PEDIATRIA;0;0;0;0;0;0;0
2011;SALUD PUBLICA IV;0;0;0;0;0;0;0
2012;ANATOMIA;0;0;0;0;0;0;0
2012;EMBRIOLOGIA Y GENETICA;0;0;0;0;0;0;0
2012;HISTOLOGIA;0;0;0;0;0;0;0
2012;SALUD PUBLICA I;0;0;0;0;0;0;0
2012;BIOQUIMICA;0;0;0;0;0;0;0
2012;FISIOLOGIA-BIOFISICA;0;0;0;0;0;0;0
2012;MICROBIOLOGIA;0;0;0;0;0;0;0
2012;PARASITOLOGIA;0;0;0;0;0;0;0
2012;SALUD PUBLICA II;0;0;0;0;0;0;0
2012;ANATOMIA PATOLOGICA;0;0;0;0;0;0;0
2012;CIRUGIA I;0;0;0;0;0;0;0
2012;FARMACOLOGIA;0;0;0;0;0;0;0
2012;FISIOPATOLOGIA;0;0;0;0;0;0;0
2012;MEDICINA I;0;0;0;0;0;0;0
2012;PSICOLOGIA MEDICA;0;0;0;0;0;0;0
2012;CIRUGIA II;0;0;0;0;0;0;0
2012;MEDICINA II;0;0;0;0;0;0;0
2012;NEUROLOGIA NEUROCIRUGIA;0;0;0;0;0;0;0
2012;PSICOPATOLOGIA PSIQUIATRIA;0;0;0;0;0;0;0
2012;SALUD PUBLICA III;0;0;0;0;0;0;0
2012;TRAUMATOLOGIA ORTOPEDIA;0;0;0;0;0;0;0
2012;CIRUGIA III;0;0;0;0;0;0;0
2012;GINECOLOGIA;0;0;0;0;0;0;0
2012;MEDICINA III;0;0;0;0;0;0;0
2012;MEDICINA LEGAL;0;0;0;0;0;0;0
2012;OBSTETRICIA;0;0;0;0;0;0;0
2012;PEDIATRIA;0;0;0;0;0;0;0
2012;SALUD PUBLICA IV;0;0;0;0;0;0;0
2013;ANATOMIA;834;0;0;0;0;0;272
2013;EMBRIOLOGIA Y GENETICA;454;0;0;0;0;0;2
2013;HISTOLOGIA;466;0;0;0;0;0;5
2013;SALUD PUBLICA I;427;0;0;0;0;0;3
2013;BIOQUIMICA;551;0;0;0;0;0;8
2013;FISIOLOGIA-BIOFISICA;703;0;0;0;0;0;60
2013;MICROBIOLOGIA;502;0;0;0;0;0;5
2013;PARASITOLOGIA;669;0;0;0;0;0;40
2013;SALUD PUBLICA II;435;0;0;0;0;0;4
2013;ANATOMIA PATOLOGICA;349;0;0;0;0;0;0
2013;CIRUGIA I;356;0;0;0;0;0;3
2013;FARMACOLOGIA;395;0;0;0;0;0;11
2013;FISIOPATOLOGIA;539;0;0;0;0;0;128
2013;MEDICINA I;361;0;0;0;0;0;0
2013;PSICOLOGIA MEDICA;331;0;0;0;0;0;1
2013;CIRUGIA II;308;0;0;0;0;0;3
2013;MEDICINA II;309;0;0;0;0;0;1
2013;NEUROLOGIA NEUROCIRUGIA;311;0;0;0;0;0;5
2013;PSICOPATOLOGIA PSIQUIATRIA;309;0;0;0;0;0;2
2013;SALUD PUBLICA III;267;0;0;0;0;0;4
2013;TRAUMATOLOGIA ORTOPEDIA;320;0;0;0;0;0;8
2013;CIRUGIA III;281;0;0;0;0;0;0
2013;GINECOLOGIA;269;0;0;0;0;0;0
2013;MEDICINA III;284;0;0;0;0;0;0
2013;MEDICINA LEGAL;267;0;0;0;0;0;0
2013;OBSTETRICIA;293;0;0;0;0;0;0
2013;PEDIATRIA;285;0;0;0;0;0;0
2013;SALUD PUBLICA IV;269;0;0;0;0;0;0
2014;ANATOMIA;819;499;0;0;0;0;330
2014;EMBRIOLOGIA Y GENETICA;329;32;0;0;0;0;1
2014;HISTOLOGIA;347;48;0;0;0;0;4
2014;SALUD PUBLICA I;314;20;0;0;0;0;0
2014;BIOQUIMICA;536;146;0;0;0;0;9
2014;FISIOLOGIA-BIOFISICA;728;331;0;0;0;0;53
2014;MICROBIOLOGIA;664;270;0;0;0;0;19
2014;PARASITOLOGIA;735;334;0;0;0;0;25
2014;SALUD PUBLICA II;522;128;0;0;0;0;6
2014;ANATOMIA PATOLOGICA;309;29;0;0;0;0;1
2014;CIRUGIA I;306;27;0;0;0;0;1
2014;FARMACOLOGIA;400;120;0;0;0;0;16
2014;FISIOPATOLOGIA;532;253;0;0;0;0;129
2014;MEDICINA I;336;55;0;0;0;0;0
2014;PSICOLOGIA MEDICA;305;25;0;0;0;0;1
2014;CIRUGIA II;274;7;0;0;0;0;1
2014;MEDICINA II;280;13;0;0;0;0;2
2014;NEUROLOGIA NEUROCIRUGIA;285;19;0;0;0;0;4
2014;PSICOPATOLOGIA PSIQUIATRIA;284;17;0;0;0;0;2
2014;SALUD PUBLICA III;239;6;0;0;0;0;2
2014;TRAUMATOLOGIA ORTOPEDIA;297;30;0;0;0;0;15
2014;CIRUGIA III;306;17;0;0;0;0;0
2014;GINECOLOGIA;298;10;0;0;0;0;0
2014;MEDICINA III;305;16;0;0;0;0;0
2014;MEDICINA LEGAL;291;3;0;0;0;0;0
2014;OBSTETRICIA;313;24;0;0;0;0;0
2014;PEDIATRIA;306;16;0;0;0;0;0
2014;SALUD PUBLICA IV;248;2;0;0;0;0;0
2015;ANATOMIA;809;345;196;0;0;0;193
2015;EMBRIOLOGIA Y GENETICA;470;32;7;0;0;0;1
2015;HISTOLOGIA;489;48;11;0;0;0;6
2015;SALUD PUBLICA I;456;20;2;0;0;0;1
2015;BIOQUIMICA;429;133;47;0;0;0;4
2015;FISIOLOGIA-BIOFISICA;576;281;122;0;0;0;28
2015;MICROBIOLOGIA;590;298;108;0;0;0;26
2015;PARASITOLOGIA;651;349;136;0;0;0;39
2015;SALUD PUBLICA II;359;96;31;0;0;0;9
2015;ANATOMIA PATOLOGICA;380;32;10;0;0;0;4
2015;CIRUGIA I;365;19;9;0;0;0;0
2015;FARMACOLOGIA;433;80;28;0;0;0;12
2015;FISIOPATOLOGIA;601;247;122;0;0;0;126
2015;MEDICINA I;389;42;12;0;0;0;1
2015;PSICOLOGIA MEDICA;362;17;7;0;0;0;0
2015;CIRUGIA II;317;16;3;0;0;0;1
2015;MEDICINA II;316;16;2;0;0;0;1
2015;NEUROLOGIA NEUROCIRUGIA;318;18;5;0;0;0;5
2015;PSICOPATOLOGIA PSIQUIATRIA;325;25;3;0;0;0;4
2015;SALUD PUBLICA III;256;8;3;0;0;0;1
2015;TRAUMATOLOGIA ORTOPEDIA;340;40;8;0;0;0;18
2015;CIRUGIA III;254;23;4;0;0;0;0
2015;GINECOLOGIA;246;16;0;0;0;0;0
2015;MEDICINA III;257;26;3;0;0;0;0
2015;MEDICINA LEGAL;236;6;0;0;0;0;0
2015;OBSTETRICIA;277;46;6;0;0;0;0
2015;PEDIATRIA;260;29;5;0;0;0;0
2015;SALUD PUBLICA IV;191;5;1;0;0;0;0
2016;ANATOMIA;871;401;141;62;0;0;268
2016;EMBRIOLOGIA Y GENETICA;467;28;4;0;0;0;0
2016;HISTOLOGIA;527;88;7;2;0;0;1
2016;SALUD PUBLICA I;462;19;2;0;0;0;3
2016;BIOQUIMICA;561;142;67;17;0;0;11
2016;FISIOLOGIA-BIOFISICA;762;331;190;65;0;0;58
2016;MICROBIOLOGIA;646;216;111;32;0;0;9
2016;PARASITOLOGIA;716;286;151;50;0;0;15
2016;SALUD PUBLICA II;490;109;42;9;0;0;9
2016;ANATOMIA PATOLOGICA;354;51;13;4;0;0;7
2016;CIRUGIA I;343;39;7;2;0;0;1
2016;FARMACOLOGIA;397;92;24;8;0;0;19
2016;FISIOPATOLOGIA;455;147;55;21;0;0;70
2016;MEDICINA I;324;20;11;1;0;0;0
2016;PSICOLOGIA MEDICA;317;15;4;1;0;0;1
2016;CIRUGIA II;352;16;0;0;0;0;0
2016;MEDICINA II;344;9;0;0;0;0;0
2016;NEUROLOGIA NEUROCIRUGIA;345;9;1;1;0;0;0
2016;PSICOPATOLOGIA PSIQUIATRIA;384;48;4;0;0;0;14
2016;SALUD PUBLICA III;306;4;2;1;0;0;3
2016;TRAUMATOLOGIA ORTOPEDIA;434;97;17;2;0;0;48
2016;CIRUGIA III;325;13;3;2;0;0;0
2016;GINECOLOGIA;327;15;4;0;0;0;0
2016;MEDICINA III;336;25;4;1;0;0;0
2016;MEDICINA LEGAL;315;5;0;0;0;0;0
2016;OBSTETRICIA;341;30;5;1;0;0;0
2016;PEDIATRIA;330;19;7;1;0;0;0
2016;SALUD PUBLICA IV;269;4;1;0;0;0;0
2017;ANATOMIA;776;451;189;46;14;0;251
2017;EMBRIOLOGIA Y GENETICA;339;18;2;0;0;0;0
2017;HISTOLOGIA;441;122;21;1;1;0;4
2017;SALUD PUBLICA I;348;23;3;0;0;0;6
2017;BIOQUIMICA;545;167;41;15;8;0;7
2017;FISIOLOGIA-BIOFISICA;777;392;158;71;29;0;41
2017;MICROBIOLOGIA;700;320;88;30;5;0;7
2017;PARASITOLOGIA;781;399;137;60;24;0;21
2017;SALUD PUBLICA II;473;118;26;8;3;0;7
2017;ANATOMIA PATOLOGICA;345;66;20;6;3;0;5
2017;CIRUGIA I;301;21;10;2;1;0;1
2017;FARMACOLOGIA;355;74;20;6;4;0;5
2017;FISIOPATOLOGIA;506;222;61;18;9;0;131
2017;MEDICINA I;323;44;8;2;0;0;0
2017;PSICOLOGIA MEDICA;295;14;6;2;1;0;0
2017;CIRUGIA II;307;19;1;0;0;0;2
2017;MEDICINA II;306;18;1;0;0;0;0
2017;NEUROLOGIA NEUROCIRUGIA;302;14;0;0;0;0;0
2017;PSICOPATOLOGIA PSIQUIATRIA;328;40;4;0;0;0;16
2017;SALUD PUBLICA III;293;5;1;0;0;0;1
2017;TRAUMATOLOGIA ORTOPEDIA;383;94;26;5;1;0;54
2017;CIRUGIA III;367;29;5;2;2;0;0
2017;GINECOLOGIA;352;14;2;0;0;0;0
2017;MEDICINA III;390;52;8;2;1;0;0
2017;MEDICINA LEGAL;341;3;0;0;0;0;0
2017;OBSTETRICIA;396;58;5;0;0;0;0
2017;PEDIATRIA;366;28;8;1;1;0;0
2017;SALUD PUBLICA IV;303;5;1;0;0;0;0
2018;ANATOMIA;666;310;148;59;15;7;181
2018;EMBRIOLOGIA Y GENETICA;374;38;3;1;0;0;1
2018;HISTOLOGIA;424;87;16;4;1;1;2
2018;SALUD PUBLICA I;361;27;3;1;0;0;3
2018;BIOQUIMICA;563;213;78;18;10;6;17
2018;FISIOLOGIA-BIOFISICA;698;331;171;57;37;19;39
2018;MICROBIOLOGIA;654;297;124;27;12;4;16
2018;PARASITOLOGIA;747;385;168;55;33;16;47
2018;SALUD PUBLICA II;485;145;48;7;4;2;8
2018;ANATOMIA PATOLOGICA;431;36;12;5;3;2;2
2018;CIRUGIA I;411;19;7;2;1;0;1
2018;FARMACOLOGIA;445;52;14;6;3;2;5
2018;FISIOPATOLOGIA;640;245;96;27;8;5;177
2018;MEDICINA I;419;26;7;0;0;0;1
2018;PSICOLOGIA MEDICA;405;14;4;0;0;0;1
2018;CIRUGIA II;328;19;7;0;0;0;2
2018;MEDICINA II;326;18;11;1;0;0;1
2018;NEUROLOGIA NEUROCIRUGIA;321;12;6;0;0;0;2
2018;PSICOPATOLOGIA PSIQUIATRIA;353;46;10;1;0;0;14
2018;SALUD PUBLICA III;314;6;5;1;0;0;1
2018;TRAUMATOLOGIA ORTOPEDIA;419;110;44;12;3;1;47
2018;CIRUGIA III;288;17;6;1;0;0;0
2018;GINECOLOGIA;313;42;5;1;0;0;0
2018;MEDICINA III;327;57;14;5;1;0;0
2018;MEDICINA LEGAL;276;5;1;0;0;0;0
2018;OBSTETRICIA;300;29;4;1;0;0;0
2018;PEDIATRIA;302;31;6;3;0;0;0
2018;SALUD PUBLICA IV;276;6;3;1;0;0;0
2019;ANATOMIA;498;204;96;35;17;3;118
2019;EMBRIOLOGIA Y GENETICA;298;17;3;0;0;0;3
2019;HISTOLOGIA;351;70;17;3;1;1;9
2019;SALUD PUBLICA I;296;18;2;0;0;0;4
2019;BIOQUIMICA;566;208;83;23;8;4;22
2019;FISIOLOGIA-BIOFISICA;689;318;148;65;27;20;47
2019;MICROBIOLOGIA;560;205;70;24;6;3;4
2019;PARASITOLOGIA;706;345;138;59;24;14;51
2019;SALUD PUBLICA II;414;106;35;7;1;0;7
2019;ANATOMIA PATOLOGICA;423;35;3;1;1;0;1
2019;CIRUGIA I;415;26;2;0;0;0;1
2019;FARMACOLOGIA;456;61;16;8;5;3;14
2019;FISIOPATOLOGIA;545;150;36;14;6;4;91
2019;MEDICINA I;430;36;6;2;0;0;0
2019;PSICOLOGIA MEDICA;419;26;5;0;0;0;1
2019;CIRUGIA II;391;9;2;0;0;0;2
2019;MEDICINA II;392;9;2;1;1;0;0
2019;NEUROLOGIA NEUROCIRUGIA;401;17;1;0;0;0;3
2019;PSICOPATOLOGIA PSIQUIATRIA;424;41;3;1;1;0;21
2019;SALUD PUBLICA III;349;3;0;0;0;0;0
2019;TRAUMATOLOGIA ORTOPEDIA;419;33;10;6;3;1;13
2019;CIRUGIA III;343;12;4;2;1;0;0
2019;GINECOLOGIA;351;20;9;4;1;0;0
2019;MEDICINA III;376;43;14;5;3;0;0
2019;MEDICINA LEGAL;335;5;1;1;0;0;0
2019;OBSTETRICIA;351;20;7;1;1;0;0
2019;PEDIATRIA;344;13;8;4;3;0;0
2019;SALUD PUBLICA IV;297;2;1;1;1;0;0
2020;ANATOMIA;683;196;84;39;17;11;123
2020;EMBRIOLOGIA Y GENETICA;480;5;1;0;0;0;0
2020;HISTOLOGIA;499;22;5;0;0;0;0
2020;SALUD PUBLICA I;489;9;3;0;0;0;7
2020;BIOQUIMICA;456;155;63;28;11;4;15
2020;FISIOLOGIA-BIOFISICA;624;320;146;65;38;18;53
2020;MICROBIOLOGIA;488;181;71;19;9;2;4
2020;PARASITOLOGIA;591;286;106;41;26;11;24
2020;SALUD PUBLICA II;306;39;18;4;1;0;3
2020;ANATOMIA PATOLOGICA;404;52;12;1;1;1;7
2020;CIRUGIA I;379;24;7;1;0;0;2
2020;FARMACOLOGIA;397;40;12;4;3;1;5
2020;FISIOPATOLOGIA;573;207;49;11;2;1;142
2020;MEDICINA I;388;31;10;1;1;0;0
2020;PSICOLOGIA MEDICA;375;22;10;0;0;0;1
2020;CIRUGIA II;389;9;3;1;0;0;0
2020;MEDICINA II;392;12;3;0;0;0;0
2020;NEUROLOGIA NEUROCIRUGIA;389;11;4;0;0;0;0
2020;PSICOPATOLOGIA PSIQUIATRIA;431;50;6;0;0;0;29
2020;SALUD PUBLICA III;343;4;2;0;0;0;1
2020;TRAUMATOLOGIA ORTOPEDIA;428;46;7;2;1;1;23
2020;CIRUGIA III;384;11;2;2;1;0;0
2020;GINECOLOGIA;391;19;1;1;1;0;0
2020;MEDICINA III;431;55;9;4;2;1;0
2020;MEDICINA LEGAL;378;6;0;0;0;0;0
2020;OBSTETRICIA;402;30;1;1;1;1;0
2020;PEDIATRIA;390;17;3;2;2;1;0
2020;SALUD PUBLICA IV;342;3;0;0;0;0;0
2021;ANATOMIA;503;160;43;6;5;3;108
2021;EMBRIOLOGIA Y GENETICA;341;24;2;0;0;0;1
2021;HISTOLOGIA;372;48;10;1;0;0;4
2021;SALUD PUBLICA I;350;32;3;0;0;0;1
2021;BIOQUIMICA;562;108;42;11;6;2;4
2021;FISIOLOGIA-BIOFISICA;622;160;72;30;14;7;13
2021;MICROBIOLOGIA;509;54;27;5;2;1;2
2021;PARASITOLOGIA;847;389;188;80;35;24;180
2021;SALUD PUBLICA II;536;88;17;5;0;0;4
2021;ANATOMIA PATOLOGICA;421;39;13;3;0;0;3
2021;CIRUGIA I;432;54;8;5;1;0;11
2021;FARMACOLOGIA;417;36;10;3;1;1;3
2021;FISIOPATOLOGIA;534;151;44;11;2;0;87
2021;MEDICINA I;410;29;5;3;0;0;4
2021;PSICOLOGIA MEDICA;386;7;4;3;0;0;0
2021;CIRUGIA II;362;11;4;1;0;0;1
2021;MEDICINA II;366;16;3;1;0;0;4
2021;NEUROLOGIA NEUROCIRUGIA;359;8;2;0;0;0;0
2021;PSICOPATOLOGIA PSIQUIATRIA;374;25;3;1;0;0;13
2021;SALUD PUBLICA III;355;5;3;1;0;0;0
2021;TRAUMATOLOGIA ORTOPEDIA;392;44;13;4;1;0;20
2021;CIRUGIA III;409;17;2;0;0;0;0
2021;GINECOLOGIA;422;30;6;1;1;1;0
2021;MEDICINA III;415;23;7;0;0;0;0
2021;MEDICINA LEGAL;406;15;1;0;0;0;0
2021;OBSTETRICIA;428;35;5;0;0;0;0
2021;PEDIATRIA;428;35;6;2;2;2;0
2021;SALUD PUBLICA IV;398;6;1;0;0;0;0
2022;ANATOMIA;772;198;95;13;1;1;78
2022;EMBRIOLOGIA Y GENETICA;593;28;6;0;0;0;0
2022;HISTOLOGIA;654;87;21;0;0;0;18
2022;SALUD PUBLICA I;589;25;6;0;0;0;0
2022;BIOQUIMICA;505;204;48;14;5;4;12
2022;FISIOLOGIA-BIOFISICA;599;297;85;31;16;9;16
2022;MICROBIOLOGIA;627;326;41;10;4;2;23
2022;PARASITOLOGIA;803;496;205;95;51;26;59
2022;SALUD PUBLICA II;340;40;12;1;1;0;3
2022;ANATOMIA PATOLOGICA;301;49;11;3;1;0;4
2022;CIRUGIA I;294;44;7;3;2;1;6
2022;FARMACOLOGIA;345;93;12;3;2;1;23
2022;FISIOPATOLOGIA;306;52;19;5;1;0;10
2022;MEDICINA I;289;39;6;0;0;0;2
2022;PSICOLOGIA MEDICA;256;8;3;0;0;0;0
2022;CIRUGIA II;312;8;2;0;0;0;1
2022;MEDICINA II;318;14;2;0;0;0;3
2022;NEUROLOGIA NEUROCIRUGIA;307;6;0;0;0;0;0
2022;PSICOPATOLOGIA PSIQUIATRIA;333;32;3;0;0;0;19
2022;SALUD PUBLICA III;304;3;1;0;0;0;0
2022;TRAUMATOLOGIA ORTOPEDIA;355;51;16;7;3;1;30
2022;CIRUGIA III;354;4;0;0;0;0;0
2022;GINECOLOGIA;357;10;2;0;0;0;0
2022;MEDICINA III;359;9;3;1;0;0;0
2022;MEDICINA LEGAL;351;3;0;0;0;0;0
2022;OBSTETRICIA;375;28;6;2;0;0;0
2022;PEDIATRIA;374;25;5;2;1;1;0
2022;SALUD PUBLICA IV;350;2;0;0;0;0;0
2023;ANATOMIA;626;362;140;57;4;0;226
2023;EMBRIOLOGIA Y GENETICA;288;33;7;0;0;0;1
2023;HISTOLOGIA;312;56;16;3;0;0;6
2023;SALUD PUBLICA I;278;25;5;0;0;0;2
2023;BIOQUIMICA;674;105;58;14;4;3;13
2023;FISIOLOGIA-BIOFISICA;800;234;140;35;13;7;28
2023;MICROBIOLOGIA;743;173;89;11;4;2;11
2023;PARASITOLOGIA;893;314;184;61;36;25;66
2023;SALUD PUBLICA II;561;28;13;2;0;0;4
2023;ANATOMIA PATOLOGICA;487;87;26;3;1;0;14
2023;CIRUGIA I;460;62;13;1;1;0;10
2023;FARMACOLOGIA;464;63;21;1;1;1;14
2023;FISIOPATOLOGIA;510;109;24;7;2;0;36
2023;MEDICINA I;448;48;10;0;0;0;1
2023;PSICOLOGIA MEDICA;407;10;0;0;0;0;1
2023;CIRUGIA II;283;8;2;0;0;0;0
2023;MEDICINA II;285;11;1;0;0;0;1
2023;NEUROLOGIA NEUROCIRUGIA;281;7;1;0;0;0;1
2023;PSICOPATOLOGIA PSIQUIATRIA;308;33;3;1;0;0;16
2023;SALUD PUBLICA III;250;2;0;0;0;0;0
2023;TRAUMATOLOGIA ORTOPEDIA;384;109;10;1;1;1;82
2023;CIRUGIA III;302;13;2;0;0;0;0
2023;GINECOLOGIA;332;43;1;0;0;0;0
2023;MEDICINA III;315;27;1;0;0;0;0
2023;MEDICINA LEGAL;292;4;0;0;0;0;0
2023;OBSTETRICIA;375;86;10;3;1;0;0
2023;PEDIATRIA;317;29;5;3;1;1;0
2023;SALUD PUBLICA IV;249;1;0;0;0;0;0
